article_incident_title,incday,incmo,incyr,case_status,region_psgc,province_psgc,municipality_psgc,city_psgc,manifestation_code1,incident_causes_code1,geo_tag_longitude,geo_tag_latitude,,
2 arrested for illegal firearms and ammunition (2 kulong matapos mahulihan ng baril at bala),20,10,2018,3,150000000,153800000,153807000,-99,2036,8008,124.2388347,7.163972118,,
2 arrested in pot session (2 arestado sa pot session),4,3,2020,4,120000000,-99,-99,129804000,2036,8004,124.2574471,7.220192174,,
"2 arrested, grenade, guns and ammunition recovered in search ops (2 arestado, granada, baril at bala",7,2,2020,2,150000000,153800000,153817000,-99,2039,2013,124.1703224,6.780483507,,
"2 arrested, Php 6.8-M shabu recovered in Cotabato bust",27,4,2018,3,120000000,-99,-99,129804000,2036,8004,124.2541387,7.217705426,,
2 BIFF camps taken over by the military (2 dagkong kampo sa BIFF nailog),15,3,2015,3,150000000,153800000,153826000,-99,927,2013,124.4459582,6.983026826,,
2 BIFF killed in attack (BIFF napatyan og  2 pag atake),5,7,2015,3,150000000,153800000,153826000,-99,927,5008,124.4258821,6.934427228,,
"2 BIFF killed, 4 others arrested in an encounter (2 BIFF patay, 4 sikop sa engkwentro)",10,6,2014,3,150000000,153800000,153820000,-99,927,5008,124.5005726,6.951772741,,
2 BIFF members killed in military air strike (2 BIFF patay sa  air to ground  assault sa militar),2,3,2020,-98,150000000,153800000,153837000,-99,926,3015,124.5652199,6.964045882,,
2 BIFF members surrender in Maguindanao,5,6,2020,-98,150000000,153800000,153814000,-99,2037,3015,124.3329296,7.167043633,,
2 BIFF men nabbed in Maguindanao ,7,5,2020,-98,150000000,153800000,153806000,-99,2036,5017,125.2595977,7.041428325,,
"2 BIFF patay, 3 Army naangol (2 BIFF killed, 3 Army injured)",29,7,2017,3,150000000,153800000,153827000,-99,927,5017,124.4351676,6.891716498,,
2 BIFF surrender to mayor (2 BIFF misurender sa mayor),21,12,2020,4,150000000,153800000,153822000,-99,2037,3015,124.7698043,7.109004493,,
"2 BIFM, 1 MILF killed in encounter (Engkwentro; 2 patay sa BIFM, 1 sa MILF)",30,9,2011,-98,150000000,153800000,153825000,-99,927,5002,124.3865392,6.954103,,
2 blasts rock Maguindanao 1,19,1,2018,-98,150000000,153800000,153807000,-99,926,5017,124.2088797,7.180124466,,
2 blasts rock Maguindanao 2,19,1,2018,-98,150000000,153800000,153807000,-99,926,5017,124.2088797,7.180124466,,
2 bombs explode (2 bomba misusikad),26,10,2018,3,150000000,153800000,153801000,-99,926,5017,124.4668092,6.834806848,,
"2 bombs found in Buluan, Maguindanao",20,11,2011,-98,150000000,153800000,153803000,-99,917,8008,124.8016945,6.7432665,,
"2 cadavers found in Brgy. Macasampen, Guindulungan, Maguindanao",11,8,2014,3,150000000,153800000,153825000,-99,2031,-98,124.3942371,6.954548043,,
2 children believed kidnapped in Cotabato City (2 paslit dinukot?) ,21,9,2011,3,120000000,-99,-99,129804000,915,8009,124.2310439,7.2046668,,
